"Tahun","Rumah Rusak Berat","Rumah Rusak Sedang","Rumah Rusak Ringan","Rumah Terendam"
"2000","1264","0","362","0"
"2001","8016","0","7953","513"
"2002","34247","0","1033","67336"
"2003","72394","0","1807","36024"
"2004","218732","0","46467","206895"
"2005","61410","0","51171","89525"
"2006","162985","0","229687","207182"
"2007","64436","0","149140","720835"
"2008","12084","0","52247","389311"
"2009","204268","0","367266","369556"
"2010","20084","3709","35708","686523"
"2011","13549","3358","56736","194785"
"2012","10686","8018","35356","187601"
"2013","17727","12590","59401","470756"
"2014","20079","6067","29350","525434"
"2015","5217","3871","16444","180319"
"2016","9029","9979","28790","334606"
"2017","10452","10648","28631","376373"
"2018","150513","39815","129837","254673"
"2019","793","591","2632","37852"
